hospital_name,hospital_ein,code,code_type,description,setting,billing_class,payer_name,plan_name,rate_type,rate_dollar,rate_percent,contracting_method,last_updated_on,source_file
Luminis Health Anne Arundel Medical Center,,PX-HC499466980,CDM,"""The Vest"" Mechanical Ches Wall Oscillation",both,,,,gross,88.2,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-HC499466980,CDM,"""The Vest"" Mechanical Ches Wall Oscillation",both,,,,discounted_cash,86.436,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-HC499466980,CDM,"""The Vest"" Mechanical Ches Wall Oscillation",both,,,,min,81.4086,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-HC499466980,CDM,"""The Vest"" Mechanical Ches Wall Oscillation",both,,,,max,86.436,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,94669,CPT,"""The Vest"" Mechanical Ches Wall Oscillation",both,,,,gross,88.2,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,94669,CPT,"""The Vest"" Mechanical Ches Wall Oscillation",both,,,,discounted_cash,86.436,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,94669,CPT,"""The Vest"" Mechanical Ches Wall Oscillation",both,,,,min,81.4086,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,94669,CPT,"""The Vest"" Mechanical Ches Wall Oscillation",both,,,,max,86.436,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,410,RC,"""The Vest"" Mechanical Ches Wall Oscillation",both,,,,gross,88.2,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,410,RC,"""The Vest"" Mechanical Ches Wall Oscillation",both,,,,discounted_cash,86.436,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
