hospital_name,system,domain,include,mrf_url,source_page_url,file_format,local_path,bytes,sha256,fetched_at,status,notes
Frederick Health Hospital,Frederick Health,www.frederickhealth.org,yes,https://www.frederickhealth.org/documents/billing%20and%20finance/52-0591612_FrederickHealthHospital_standardcharges.csv,https://www.frederickhealth.org/about/billing-financial-assistance/,csv,,,,,discovered,
The Johns Hopkins Hospital,Johns Hopkins Medicine,www.hopkinsmedicine.org,yes,https://www.hopkinsmedicine.org/-/media/patient-care/documents/billing-insurance/charge-fees/520591656_the-johns-hopkins-hospital_standardcharges.csv,https://www.hopkinsmedicine.org/patient-care/patients-visitors/billing-insurance/pay-bill/charges-fees,csv,,,,,discovered,
Johns Hopkins Bayview Medical Center,Johns Hopkins Medicine,www.hopkinsmedicine.org,yes,https://www.hopkinsmedicine.org/-/media/patient-care/documents/billing-insurance/charge-fees/521341890_johns-hopkins-bayview-medical-center_standardcharges.csv,https://www.hopkinsmedicine.org/patient-care/patients-visitors/billing-insurance/pay-bill/charges-fees,csv,,,,,discovered,
Johns Hopkins Howard County Medical Center,Johns Hopkins Medicine,www.hopkinsmedicine.org,yes,https://www.hopkinsmedicine.org/-/media/patient-care/documents/billing-insurance/charge-fees/522093120_johns-hopkins-howard-county-medical-center_standardcharges.csv,https://www.hopkinsmedicine.org/patient-care/patients-visitors/billing-insurance/pay-bill/charges-fees,csv,,,,,discovered,
Suburban Hospital,Johns Hopkins Medicine,www.hopkinsmedicine.org,yes,https://www.hopkinsmedicine.org/-/media/patient-care/documents/billing-insurance/charge-fees/520610545_suburban-hospital_standardcharges.csv,https://www.hopkinsmedicine.org/patient-care/patients-visitors/billing-insurance/pay-bill/charges-fees,csv,,,,,discovered,Bethesda
Sibley Memorial Hospital,Johns Hopkins Medicine,www.hopkinsmedicine.org,no,https://www.hopkinsmedicine.org/-/media/patient-care/documents/billing-insurance/charge-fees/450562642_sibley-memorial-hospital_standardcharges.csv,https://www.hopkinsmedicine.org/patient-care/patients-visitors/billing-insurance/pay-bill/charges-fees,csv,,,,,discovered,"Washington DC, not under HSCRC"
Johns Hopkins All Children's Hospital,Johns Hopkins Medicine,www.hopkinsmedicine.org,no,https://www.hopkinsmedicine.org/-/media/patient-care/documents/billing-insurance/charge-fees/590683252_johns-hopkins-all-children-_s-hospital_standardcharges.csv,https://www.hopkinsmedicine.org/patient-care/patients-visitors/billing-insurance/pay-bill/charges-fees,csv,,,,,discovered,St. Petersburg FL
University of Maryland Medical Center,University of Maryland Medical System,www.umms.org,yes,https://www.umms.org/standard-charges/521362793_University-of-Maryland-Medical-Center_standardcharges.csv,https://www.umms.org/patients-visitors/price-transparency,csv,,,,,discovered,Baltimore; cms-hpt.txt read in a browser (403 to scripts)
UM R Adams Cowley Shock Trauma Center,University of Maryland Medical System,www.umms.org,no,https://www.umms.org/standard-charges/521362793_UM-R-Adams-Cowley-Shock-Trauma-Center_standardcharges.csv,https://www.umms.org/patients-visitors/price-transparency,csv,,,,,discovered,"unit of UMMC, shares its EIN; flip to yes if wanted; cms-hpt.txt read in a browser (403 to scripts)"
University of Maryland Medical Center Midtown Campus,University of Maryland Medical System,www.umms.org,yes,https://www.umms.org/standard-charges/520591667_UMMC-Midtown-Campus_standardcharges.csv,https://www.umms.org/patients-visitors/price-transparency,csv,,,,,discovered,Baltimore; cms-hpt.txt read in a browser (403 to scripts)
